episode,global_step,steps,reward,distance_m,load_dropped,robot_fallen,best_reward,is_best,curriculum_stage
1,27,27,-73.7792,0.1265,false,true,-73.7792,true,Stand
2,39,12,-45.0643,0.1088,false,true,-45.0643,true,Stand
3,58,19,-63.3093,0.0813,true,false,-45.0643,false,Stand
4,86,28,-63.5038,0.0911,false,true,-45.0643,false,Stand
5,106,20,-91.4401,0.0254,false,true,-45.0643,false,Stand
6,118,12,-50.7017,0.0633,false,true,-45.0643,false,Stand
7,147,29,-84.7566,0.1507,false,true,-45.0643,false,Stand
8,165,18,-77.7244,0.0262,true,false,-45.0643,false,Stand
9,186,21,-35.7283,0.2008,true,false,-35.7283,true,Stand
10,207,21,-29.4227,0.2459,false,true,-29.4227,true,Stand
11,220,13,-39.0825,0.2064,false,true,-29.4227,false,Stand
12,249,29,-68.7228,0.0917,false,true,-29.4227,false,Stand
13,274,25,-43.7917,0.2150,true,false,-29.4227,false,Stand
14,296,22,-77.0816,0.0198,true,false,-29.4227,false,Stand
15,319,23,-68.3936,0.0708,true,false,-29.4227,false,Stand
16,350,31,-46.2840,0.3958,false,true,-29.4227,false,Stand
17,367,17,-25.8509,0.2767,true,false,-25.8509,true,Stand
18,402,35,-79.5902,0.1394,false,true,-25.8509,false,Stand
19,423,21,-53.9356,0.1162,false,true,-25.8509,false,Stand
20,444,21,-108.0649,0.0426,true,false,-25.8509,false,Stand
21,462,18,-75.9745,0.0248,true,false,-25.8509,false,Stand
22,476,14,-62.5345,0.0081,false,true,-25.8509,false,Stand
23,498,22,-42.6398,0.2164,true,false,-25.8509,false,Stand
24,510,12,-44.3724,0.1203,false,true,-25.8509,false,Stand
25,531,21,-94.8253,0.0035,true,false,-25.8509,false,Stand
26,558,27,-84.6787,0.0749,false,true,-25.8509,false,Stand
27,571,13,-55.4958,0.0717,false,true,-25.8509,false,Stand
28,600,29,-78.9387,0.1193,false,true,-25.8509,false,Stand
29,626,26,-82.4089,0.1487,false,true,-25.8509,false,Stand
30,647,21,-28.9033,0.2913,true,false,-25.8509,false,Stand
31,668,21,-29.1615,0.3258,true,false,-25.8509,false,Stand
32,693,25,-86.4335,0.0984,true,false,-25.8509,false,Stand
33,712,19,-37.1706,0.1760,false,true,-25.8509,false,Stand
34,732,20,-87.0162,0.0042,true,false,-25.8509,false,Stand
35,749,17,-54.2300,0.1259,true,false,-25.8509,false,Stand
36,774,25,-23.6657,0.4829,false,true,-23.6657,true,Stand
37,794,20,-57.7113,0.0717,true,false,-23.6657,false,Stand
38,812,18,-75.6256,0.0262,true,false,-23.6657,false,Stand
39,836,24,-111.3155,0.0521,false,true,-23.6657,false,Stand
40,866,30,-132.6219,0.0259,false,true,-23.6657,false,Stand
41,884,18,-71.8242,0.0476,true,false,-23.6657,false,Stand
42,918,34,-178.6831,0.0068,true,false,-23.6657,false,Stand
43,931,13,-45.9321,0.0948,false,true,-23.6657,false,Stand
44,951,20,-96.2692,0.0564,true,false,-23.6657,false,Stand
45,974,23,-70.9804,0.0418,true,false,-23.6657,false,Stand
46,998,24,-74.0390,0.0599,false,true,-23.6657,false,Stand
47,1017,19,-69.7996,0.0372,true,false,-23.6657,false,Stand
48,1037,20,-95.8319,0.0118,false,true,-23.6657,false,Stand
49,1066,29,-95.7630,0.0458,false,true,-23.6657,false,Stand
50,1085,19,-76.8268,0.0281,true,false,-23.6657,false,Stand
51,1103,18,-77.9917,0.0365,true,false,-23.6657,false,Stand
52,1147,44,-105.0779,0.2001,false,true,-23.6657,false,Stand
