episode,global_step,steps,reward,distance_m,load_dropped,robot_fallen,best_reward,is_best,curriculum_stage
1,13,13,-54.8282,0.0338,false,true,-54.8282,true,Stand
2,25,12,-50.5438,0.0298,false,true,-50.5438,true,Stand
3,39,14,-46.6511,0.1016,false,true,-46.6511,true,Stand
4,58,19,-66.9331,0.0288,true,false,-46.6511,false,Stand
5,88,30,-79.7247,0.0420,true,false,-46.6511,false,Stand
6,114,26,-63.1624,0.2294,false,true,-46.6511,false,Stand
7,126,12,-39.2340,0.1524,false,true,-39.2340,true,Stand
8,138,12,-52.7227,0.0488,false,true,-39.2340,false,Stand
9,164,26,-23.0440,0.5149,true,false,-23.0440,true,Stand
10,184,20,-21.3881,0.3442,true,false,-21.3881,true,Stand
11,196,12,-44.4526,0.0866,false,true,-21.3881,false,Stand
12,213,17,-35.6800,0.1942,true,false,-21.3881,false,Stand
13,224,11,-48.0412,0.0898,false,true,-21.3881,false,Stand
14,237,13,-37.9662,0.1727,false,true,-21.3881,false,Stand
15,255,18,-71.7770,0.0407,true,false,-21.3881,false,Stand
16,273,18,-43.0408,0.2044,false,true,-21.3881,false,Stand
17,295,22,-57.7605,0.1093,true,false,-21.3881,false,Stand
18,318,23,-43.7683,0.2018,true,false,-21.3881,false,Stand
19,343,25,-69.4857,0.0728,false,true,-21.3881,false,Stand
20,360,17,-77.7227,0.0179,true,false,-21.3881,false,Stand
21,382,22,-75.6066,0.0837,true,false,-21.3881,false,Stand
22,395,13,-52.2392,0.0524,false,true,-21.3881,false,Stand
23,419,24,-40.5630,0.2080,false,true,-21.3881,false,Stand
24,440,21,-71.8005,0.0573,true,false,-21.3881,false,Stand
25,462,22,-44.2527,0.1729,false,true,-21.3881,false,Stand
26,481,19,-45.2137,0.2840,false,true,-21.3881,false,Stand
27,493,12,-47.4063,0.0860,false,true,-21.3881,false,Stand
28,521,28,-138.7737,0.0394,false,true,-21.3881,false,Stand
29,538,17,-87.3297,0.0570,false,true,-21.3881,false,Stand
30,559,21,-60.9946,0.0206,true,false,-21.3881,false,Stand
31,573,14,-47.5649,0.0902,false,true,-21.3881,false,Stand
32,587,14,-46.8323,0.1264,false,true,-21.3881,false,Stand
33,610,23,-85.2854,0.0335,false,true,-21.3881,false,Stand
34,630,20,-74.6850,0.0536,true,false,-21.3881,false,Stand
35,648,18,-67.2315,0.0500,true,false,-21.3881,false,Stand
36,667,19,-35.7013,0.2113,false,true,-21.3881,false,Stand
37,696,29,-14.3775,0.5751,false,true,-14.3775,true,Stand
38,708,12,-46.2646,0.1170,false,true,-14.3775,false,Stand
39,727,19,-60.2621,0.0305,false,true,-14.3775,false,Stand
40,751,24,-84.9074,0.0373,false,true,-14.3775,false,Stand
41,763,12,-53.2796,0.0501,false,true,-14.3775,false,Stand
42,788,25,-71.9513,0.1006,false,true,-14.3775,false,Stand
43,807,19,-52.0814,0.1172,true,false,-14.3775,false,Stand
44,827,20,-55.6903,0.1611,true,false,-14.3775,false,Stand
45,845,18,-49.7578,0.1142,false,true,-14.3775,false,Stand
46,876,31,-128.9440,0.0779,false,true,-14.3775,false,Stand
47,896,20,-51.0787,0.0978,false,true,-14.3775,false,Stand
48,915,19,-62.4274,0.0451,false,true,-14.3775,false,Stand
49,946,31,-102.2140,0.1264,false,true,-14.3775,false,Stand
50,965,19,-35.3615,0.2268,false,true,-14.3775,false,Stand
51,989,24,-124.3679,0.0183,true,false,-14.3775,false,Stand
52,1006,17,-47.9185,0.1288,false,true,-14.3775,false,Stand
53,1029,23,-42.8256,0.1464,false,true,-14.3775,false,Stand
54,1048,19,-58.8959,0.0919,true,false,-14.3775,false,Stand
55,1068,20,-76.0350,0.0442,true,false,-14.3775,false,Stand
56,1095,27,-54.0847,0.1839,false,true,-14.3775,false,Stand
57,1124,29,-92.9382,0.0793,false,true,-14.3775,false,Stand
58,1146,22,-72.7321,0.0922,true,false,-14.3775,false,Stand
59,1160,14,-52.7301,0.0481,false,true,-14.3775,false,Stand
60,1175,15,-41.0568,0.2151,false,true,-14.3775,false,Stand
61,1187,12,-47.9538,0.0611,false,true,-14.3775,false,Stand
62,1205,18,-85.2739,0.0119,true,false,-14.3775,false,Stand
63,1227,22,-76.2120,0.0460,true,false,-14.3775,false,Stand
64,1251,24,-76.7017,0.0511,false,true,-14.3775,false,Stand
65,1268,17,-28.5417,0.2710,true,false,-14.3775,false,Stand
66,1295,27,-102.9834,0.0620,false,true,-14.3775,false,Stand
67,1319,24,-55.9134,0.1203,false,true,-14.3775,false,Stand
68,1343,24,-59.3460,0.1248,true,false,-14.3775,false,Stand
69,1355,12,-48.0766,0.0907,false,true,-14.3775,false,Stand
70,1379,24,-145.2437,0.0060,true,false,-14.3775,false,Stand
71,1399,20,-86.3897,0.0160,true,false,-14.3775,false,Stand
72,1425,26,-59.4861,0.1026,false,true,-14.3775,false,Stand
73,1456,31,-54.1027,0.2265,false,true,-14.3775,false,Stand
74,1468,12,-46.5300,0.0819,false,true,-14.3775,false,Stand
75,1494,26,-46.2623,0.2392,true,false,-14.3775,false,Stand
76,1518,24,-126.2290,0.0367,true,false,-14.3775,false,Stand
77,1536,18,-95.3802,0.0171,true,false,-14.3775,false,Stand
78,1547,11,-53.0929,0.0515,false,true,-14.3775,false,Stand
79,1575,28,-61.8769,0.1338,false,true,-14.3775,false,Stand
80,1597,22,-11.4010,0.5521,false,true,-11.4010,true,Stand
81,1626,29,-44.2530,0.3772,false,true,-11.4010,false,Stand
82,1646,20,-87.1435,0.0172,true,false,-11.4010,false,Stand
83,1670,24,-112.4376,0.0187,false,true,-11.4010,false,Stand
84,1709,39,-55.8736,0.2286,false,true,-11.4010,false,Stand
85,1721,12,-53.8682,0.0778,false,true,-11.4010,false,Stand
86,1738,17,-82.9338,0.0359,false,true,-11.4010,false,Stand
87,1761,23,-70.9811,0.0573,false,true,-11.4010,false,Stand
88,1790,29,-134.2356,0.0395,false,true,-11.4010,false,Stand
89,1813,23,-15.3049,0.4075,true,false,-11.4010,false,Stand
90,1833,20,-61.1297,0.0927,true,false,-11.4010,false,Stand
91,1854,21,-38.8940,0.1881,true,false,-11.4010,false,Stand
92,1882,28,-115.2965,0.0891,false,true,-11.4010,false,Stand
93,1903,21,-60.6618,0.0762,true,false,-11.4010,false,Stand
94,1925,22,-108.0378,0.0102,false,true,-11.4010,false,Stand
95,1944,19,-30.5696,0.3199,true,false,-11.4010,false,Stand
96,1965,21,-57.3390,0.0344,true,false,-11.4010,false,Stand
97,1985,20,-91.4656,0.0260,true,false,-11.4010,false,Stand
98,1997,12,-45.3798,0.1176,false,true,-11.4010,false,Stand
99,2022,25,-78.0080,0.0340,false,true,-11.4010,false,Stand
100,2046,24,-46.1655,0.1833,false,true,-11.4010,false,Stand
101,2067,21,-28.3853,0.2550,true,false,-11.4010,false,Stand
102,2092,25,-76.1278,0.0309,false,true,-11.4010,false,Stand
103,2118,26,-117.1637,0.0294,false,true,-11.4010,false,Stand
104,2142,24,-72.6906,0.1135,true,false,-11.4010,false,Stand
105,2168,26,-51.7989,0.2160,false,true,-11.4010,false,Stand
106,2192,24,-7.4405,0.5347,false,true,-7.4405,true,Stand
107,2218,26,-93.9297,0.1031,false,true,-7.4405,false,Stand
108,2236,18,-31.3222,0.2395,true,false,-7.4405,false,Stand
109,2260,24,-124.6095,0.0555,false,true,-7.4405,false,Stand
110,2294,34,-100.2526,0.1174,true,false,-7.4405,false,Stand
111,2314,20,-79.2929,0.0144,true,false,-7.4405,false,Stand
112,2337,23,-21.8352,0.4063,false,true,-7.4405,false,Stand
113,2356,19,-43.9767,0.1613,false,true,-7.4405,false,Stand
114,2380,24,-48.8376,0.2395,true,false,-7.4405,false,Stand
115,2409,29,-69.3587,0.1282,false,true,-7.4405,false,Stand
116,2440,31,-6.9180,0.6454,false,true,-6.9180,true,Stand
117,2459,19,-68.4925,0.0892,false,true,-6.9180,false,Stand
118,2482,23,-98.6894,0.0271,false,true,-6.9180,false,Stand
119,2495,13,-41.6265,0.1354,false,true,-6.9180,false,Stand
120,2512,17,-53.8549,0.0731,false,true,-6.9180,false,Stand
121,2536,24,-42.2978,0.1962,true,false,-6.9180,false,Stand
122,2548,12,-53.1799,0.0608,false,true,-6.9180,false,Stand
123,2565,17,-46.5625,0.1109,false,true,-6.9180,false,Stand
124,2579,14,-30.3900,0.2148,false,true,-6.9180,false,Stand
125,2599,20,-36.7348,0.2340,true,false,-6.9180,false,Stand
126,2613,14,-40.8250,0.1367,false,true,-6.9180,false,Stand
127,2660,47,-10.6379,0.8247,false,true,-6.9180,false,Stand
128,2703,43,-74.6445,0.2529,false,true,-6.9180,false,Stand
129,2722,19,-85.0098,0.0473,true,false,-6.9180,false,Stand
130,2743,21,-37.2958,0.2216,true,false,-6.9180,false,Stand
131,2762,19,-68.4492,0.0662,false,true,-6.9180,false,Stand
132,2785,23,-40.9679,0.2621,false,true,-6.9180,false,Stand
133,2811,26,-134.8983,0.0205,false,true,-6.9180,false,Stand
134,2837,26,-65.0947,0.1880,false,true,-6.9180,false,Stand
135,2862,25,-44.1531,0.2969,true,false,-6.9180,false,Stand
136,2887,25,-86.6519,0.0200,false,true,-6.9180,false,Stand
137,2907,20,-73.8211,0.0268,true,false,-6.9180,false,Stand
138,2930,23,-86.3026,0.0327,true,false,-6.9180,false,Stand
139,2942,12,-52.5050,0.0274,false,true,-6.9180,false,Stand
140,2964,22,-100.2169,0.0066,true,false,-6.9180,false,Stand
141,2983,19,-27.8122,0.3005,false,true,-6.9180,false,Stand
142,3016,33,-94.5168,0.0494,false,true,-6.9180,false,Stand
143,3031,15,-63.1698,0.0347,false,true,-6.9180,false,Stand
144,3052,21,-89.2748,0.0497,true,false,-6.9180,false,Stand
145,3064,12,-35.7391,0.1746,false,true,-6.9180,false,Stand
146,3077,13,-50.3507,0.0416,false,true,-6.9180,false,Stand
147,3094,17,-48.8336,0.0898,false,true,-6.9180,false,Stand
148,3115,21,-80.1072,0.0192,true,false,-6.9180,false,Stand
149,3127,12,-55.1963,0.0302,false,true,-6.9180,false,Stand
150,3140,13,-53.1154,0.0386,false,true,-6.9180,false,Stand
151,3158,18,-92.6098,0.0153,true,false,-6.9180,false,Stand
152,3182,24,-79.0967,0.0892,false,true,-6.9180,false,Stand
153,3209,27,-79.7603,0.1430,false,true,-6.9180,false,Stand
154,3227,18,-59.8925,0.1324,true,false,-6.9180,false,Stand
155,3245,18,-80.8611,0.0740,true,false,-6.9180,false,Stand
156,3266,21,-53.5242,0.1694,false,true,-6.9180,false,Stand
157,3289,23,-73.5416,0.0375,false,true,-6.9180,false,Stand
158,3312,23,-70.3751,0.0674,true,false,-6.9180,false,Stand
159,3334,22,-38.8809,0.2711,false,true,-6.9180,false,Stand
160,3364,30,-48.3564,0.3040,false,true,-6.9180,false,Stand
161,3386,22,-39.5059,0.1966,false,true,-6.9180,false,Stand
162,3406,20,-38.0244,0.1908,false,true,-6.9180,false,Stand
163,3419,13,-45.1114,0.0909,false,true,-6.9180,false,Stand
164,3439,20,-71.4738,0.0925,true,false,-6.9180,false,Stand
165,3462,23,-96.1488,0.0121,true,false,-6.9180,false,Stand
166,3493,31,-36.1470,0.4529,false,true,-6.9180,false,Stand
167,3505,12,-52.3053,0.0366,false,true,-6.9180,false,Stand
168,3532,27,-122.3457,0.0801,false,true,-6.9180,false,Stand
169,3559,27,-56.5577,0.1771,false,true,-6.9180,false,Stand
170,3583,24,-39.3148,0.2155,true,false,-6.9180,false,Stand
171,3598,15,-61.3830,0.0187,false,true,-6.9180,false,Stand
172,3628,30,-66.2988,0.1639,true,true,-6.9180,false,Stand
173,3657,29,-167.8992,0.0235,false,true,-6.9180,false,Stand
174,3676,19,-81.1665,0.0271,true,false,-6.9180,false,Stand
175,3694,18,-39.3560,0.1841,false,true,-6.9180,false,Stand
176,3720,26,-89.4402,0.0735,true,false,-6.9180,false,Stand
177,3740,20,-55.7964,0.0747,false,true,-6.9180,false,Stand
178,3757,17,-42.9062,0.1726,false,true,-6.9180,false,Stand
179,3779,22,-23.4430,0.4217,false,true,-6.9180,false,Stand
180,3801,22,-54.5216,0.0965,true,false,-6.9180,false,Stand
181,3813,12,-43.4312,0.1038,false,true,-6.9180,false,Stand
182,3832,19,-41.5199,0.1871,true,false,-6.9180,false,Stand
183,3855,23,-76.4067,0.0964,false,true,-6.9180,false,Stand
184,3881,26,-77.6443,0.1745,false,true,-6.9180,false,Stand
185,3897,16,-50.5714,0.0999,true,false,-6.9180,false,Stand
186,3914,17,-38.8152,0.2213,false,true,-6.9180,false,Stand
187,3934,20,-65.8083,0.0835,true,false,-6.9180,false,Stand
188,3952,18,-95.0785,0.0381,true,false,-6.9180,false,Stand
189,3974,22,-63.3507,0.0791,true,false,-6.9180,false,Stand
190,3996,22,-69.5008,0.1226,false,true,-6.9180,false,Stand
191,4018,22,-70.9340,0.0604,true,false,-6.9180,false,Stand
192,4045,27,-31.1842,0.3253,false,true,-6.9180,false,Stand
193,4056,11,-47.1364,0.0647,false,true,-6.9180,false,Stand
194,4070,14,-44.1495,0.1431,false,true,-6.9180,false,Stand
195,4087,17,-55.4897,0.0754,false,true,-6.9180,false,Stand
196,4104,17,-50.0982,0.1136,false,true,-6.9180,false,Stand
197,4130,26,-45.6617,0.2074,true,false,-6.9180,false,Stand
198,4152,22,-93.3344,0.0430,false,true,-6.9180,false,Stand
199,4173,21,-109.0118,0.0095,false,true,-6.9180,false,Stand
200,4201,28,-56.0608,0.2056,false,true,-6.9180,false,Stand
201,4223,22,-120.4412,0.0069,false,true,-6.9180,false,Stand
202,4247,24,-82.0791,0.0894,false,true,-6.9180,false,Stand
203,4277,30,-65.5576,0.1563,true,false,-6.9180,false,Stand
204,4297,20,-58.7744,0.0870,true,false,-6.9180,false,Stand
205,4310,13,-55.3291,0.0072,false,true,-6.9180,false,Stand
206,4331,21,-64.9869,0.0194,false,true,-6.9180,false,Stand
207,4349,18,-66.4446,0.0572,true,false,-6.9180,false,Stand
208,4368,19,-57.2091,0.1085,false,true,-6.9180,false,Stand
209,4384,16,-67.4345,0.0375,true,false,-6.9180,false,Stand
210,4405,21,-64.2072,0.0962,false,true,-6.9180,false,Stand
211,4425,20,-79.8932,0.0322,true,false,-6.9180,false,Stand
212,4444,19,-49.8046,0.1361,false,true,-6.9180,false,Stand
213,4473,29,-109.1678,0.1161,true,false,-6.9180,false,Stand
214,4486,13,-51.7638,0.0372,false,true,-6.9180,false,Stand
215,4514,28,-146.6525,0.0270,false,true,-6.9180,false,Stand
216,4530,16,-81.2503,0.0003,true,false,-6.9180,false,Stand
217,4549,19,-71.3732,0.0350,true,false,-6.9180,false,Stand
218,4561,12,-48.1390,0.0771,false,true,-6.9180,false,Stand
219,4581,20,-48.8877,0.0821,false,true,-6.9180,false,Stand
220,4594,13,-42.7028,0.1121,false,true,-6.9180,false,Stand
221,4611,17,-78.0215,0.0268,true,false,-6.9180,false,Stand
222,4638,27,-55.1353,0.2579,false,true,-6.9180,false,Stand
223,4665,27,-57.0464,0.1776,false,true,-6.9180,false,Stand
224,4686,21,-76.2239,0.0018,false,true,-6.9180,false,Stand
225,4712,26,-126.9047,0.0159,false,true,-6.9180,false,Stand
226,4742,30,-70.8401,0.0698,false,true,-6.9180,false,Stand
227,4754,12,-51.1849,0.0397,false,true,-6.9180,false,Stand
228,4782,28,-27.0436,0.3982,false,true,-6.9180,false,Stand
229,4802,20,-64.5651,0.0817,true,false,-6.9180,false,Stand
230,4832,30,5.8968,0.6722,false,true,5.8968,true,Stand
231,4852,20,-91.5002,0.0334,true,false,5.8968,false,Stand
232,4876,24,-18.0191,0.3996,true,false,5.8968,false,Stand
233,4896,20,-75.7924,0.0934,true,false,5.8968,false,Stand
234,4919,23,-34.0230,0.2876,true,false,5.8968,false,Stand
235,4941,22,-71.3186,0.0591,true,false,5.8968,false,Stand
236,4963,22,-77.9612,0.0218,true,false,5.8968,false,Stand
237,4978,15,-47.6906,0.0826,false,true,5.8968,false,Stand
238,4996,18,-59.8485,0.0996,true,false,5.8968,false,Stand
239,5028,32,-25.2351,0.5844,true,false,5.8968,false,Stand
240,5049,21,-17.2893,0.4268,true,false,5.8968,false,Stand
241,5068,19,-74.2675,0.0073,false,true,5.8968,false,Stand
242,5088,20,-68.3668,0.0915,false,true,5.8968,false,Stand
243,5109,21,-83.1512,0.0490,false,true,5.8968,false,Stand
244,5121,12,-47.4533,0.0741,false,true,5.8968,false,Stand
245,5132,11,-44.4897,0.0936,false,true,5.8968,false,Stand
246,5154,22,-15.9509,0.4569,true,false,5.8968,false,Stand
247,5167,13,-56.3436,0.0190,false,true,5.8968,false,Stand
248,5195,28,-81.5149,0.0549,false,true,5.8968,false,Stand
249,5208,13,-53.2035,0.0494,false,true,5.8968,false,Stand
250,5236,28,-83.8788,0.1306,false,true,5.8968,false,Stand
251,5248,12,-39.2097,0.1673,false,true,5.8968,false,Stand
252,5271,23,-100.6760,0.0367,false,true,5.8968,false,Stand
253,5301,30,-98.4849,0.1131,false,true,5.8968,false,Stand
254,5318,17,-89.0566,0.0042,true,false,5.8968,false,Stand
255,5330,12,-54.7171,0.0661,false,true,5.8968,false,Stand
256,5354,24,-84.4766,0.0440,true,false,5.8968,false,Stand
257,5373,19,-72.9872,0.0628,true,false,5.8968,false,Stand
