tag,value,global_step
train/reward_mean,-12.061977717698115,4096
train/policy_loss,-0.019603674045671766,4096
train/value_loss,2.0180003118168757,4096
train/entropy,34.05253959521512,4096
train/best_reward,-10.538619128893828,4096
curriculum/stage,0,4096
train/reward_mean,-10.046888168082768,8192
train/policy_loss,-0.04006073154580037,8192
train/value_loss,1.5867420856917127,8192
train/entropy,34.05000813902283,8192
train/best_reward,-9.676414438672728,8192
curriculum/stage,0,8192
train/reward_mean,-9.034546156285622,12288
train/policy_loss,-0.02969750930566681,12288
train/value_loss,1.3573549426237457,12288
train/entropy,34.047383770931496,12288
train/best_reward,-9.676414438672728,12288
curriculum/stage,0,12288
train/reward_mean,-9.933819000312209,16384
train/policy_loss,-0.03300895846345068,16384
train/value_loss,1.1477000464150604,16384
train/entropy,34.04666479863551,16384
train/best_reward,-9.097426746617867,16384
curriculum/stage,0,16384
train/reward_mean,-9.12798920034775,20480
train/policy_loss,-0.01716462585929204,20480
train/value_loss,1.087794271575874,20480
train/entropy,34.04640330564526,20480
train/best_reward,-9.097426746617867,20480
curriculum/stage,0,20480
train/reward_mean,-10.500787962779244,24576
train/policy_loss,-0.02575052651570527,24576
train/value_loss,0.9498979604095869,24576
train/entropy,34.04410439958312,24576
train/best_reward,-9.097426746617867,24576
curriculum/stage,0,24576
train/reward_mean,-8.646106571633423,28672
train/policy_loss,-0.038277812586962716,28672
train/value_loss,0.8680085880076817,28672
train/entropy,34.04220938116899,28672
train/best_reward,-9.097426746617867,28672
curriculum/stage,0,28672
train/reward_mean,-7.840106869492262,32768
train/policy_loss,-0.03211513696420813,32768
train/value_loss,0.8192341716491565,32768
train/entropy,34.04022089822615,32768
train/best_reward,-7.457698546310957,32768
curriculum/stage,0,32768
train/reward_mean,-8.913935323563342,36864
train/policy_loss,-0.033083308008537204,36864
train/value_loss,0.7467154802942323,36864
train/entropy,34.03836857860309,36864
train/best_reward,-7.457698546310957,36864
curriculum/stage,0,36864
train/reward_mean,-7.917742445915443,40960
train/policy_loss,-0.03550576796737921,40960
train/value_loss,0.7068846937211445,40960
train/entropy,34.03588226073839,40960
train/best_reward,-7.457698546310957,40960
curriculum/stage,0,40960
train/reward_mean,-9.19902196277943,45056
train/policy_loss,-0.04164340643092413,45056
train/value_loss,0.652254790959979,45056
train/entropy,34.0333108779132,45056
train/best_reward,-7.457698546310957,45056
curriculum/stage,0,45056
train/reward_mean,-7.720100602288434,49152
train/policy_loss,-0.038486026662017565,49152
train/value_loss,0.6403936532124707,49152
train/entropy,34.03040119959366,49152
train/best_reward,-7.457698546310957,49152
curriculum/stage,0,49152
train/reward_mean,-7.293816304112578,53248
train/policy_loss,-0.03612829189383905,53248
train/value_loss,0.6915951829451095,53248
train/entropy,34.02802911355791,53248
train/best_reward,-7.457698546310957,53248
curriculum/stage,0,53248
train/reward_mean,-8.067999026874563,57344
train/policy_loss,-0.037583563389843894,57344
train/value_loss,0.6089529555235871,57344
train/entropy,34.02784661405722,57344
train/best_reward,-7.025297210102037,57344
curriculum/stage,0,57344
train/reward_mean,-7.473616891896562,61440
train/policy_loss,-0.0416367200896519,61440
train/value_loss,0.643615589423589,61440
train/entropy,34.02799626695666,61440
train/best_reward,-7.025297210102037,61440
curriculum/stage,0,61440
train/reward_mean,-8.507946113137386,65536
train/policy_loss,-0.0428670929338821,65536
train/value_loss,0.609529113609327,65536
train/entropy,34.0292510196484,65536
train/best_reward,-7.025297210102037,65536
curriculum/stage,0,65536
train/reward_mean,-7.584310713049997,69632
train/policy_loss,-0.0407302008560442,69632
train/value_loss,0.672172750908561,69632
train/entropy,34.02783596394527,69632
train/best_reward,-7.025297210102037,69632
curriculum/stage,0,69632
train/reward_mean,-8.663049599559459,73728
train/policy_loss,-0.04108094298358362,73728
train/value_loss,0.5685776090117802,73728
train/entropy,34.02845983542178,73728
train/best_reward,-6.441580930326715,73728
curriculum/stage,0,73728
train/reward_mean,-7.428180126789807,77824
train/policy_loss,-0.04062745944364406,77824
train/value_loss,0.6014444228393077,77824
train/entropy,34.026725824994,77824
train/best_reward,-6.441580930326715,77824
curriculum/stage,0,77824
train/reward_mean,-7.203482483986628,81920
train/policy_loss,-0.04044545023636738,81920
train/value_loss,0.6811883062952793,81920
train/entropy,34.02951584766969,81920
train/best_reward,-6.441580930326715,81920
curriculum/stage,0,81920
train/reward_mean,-7.687266656808354,86016
train/policy_loss,-0.04359458469810946,86016
train/value_loss,0.5767467476291127,86016
train/entropy,34.02805613530034,86016
train/best_reward,-6.441580930326715,86016
curriculum/stage,0,86016
train/reward_mean,-12.086245058984415,4096
train/policy_loss,-0.025109824557664934,4096
train/value_loss,1.9921089649653232,4096
train/entropy,34.052486320724704,4096
train/best_reward,-10.401119717711401,4096
curriculum/stage,0,4096
