tag,value,global_step
train/reward_mean,-63.14447292882223,4096
train/policy_loss,0.025357310622472852,4096
train/value_loss,1538.0766796786452,4096
train/entropy,14.703683778234433,4096
train/best_reward,5.392802499377964,4096
curriculum/stage,0,4096
train/reward_mean,-62.112459428037134,8192
train/policy_loss,-0.005387867609776226,8192
train/value_loss,1448.3972400470552,8192
train/entropy,14.703822071570588,8192
train/best_reward,5.392802499377964,8192
curriculum/stage,0,8192
train/reward_mean,-60.499724056330116,12288
train/policy_loss,-0.005261323726238019,12288
train/value_loss,1360.2269702712722,12288
train/entropy,14.704088395706071,12288
train/best_reward,5.392802499377964,12288
curriculum/stage,0,12288
train/reward_mean,-63.047347667498656,16384
train/policy_loss,-0.005015100637236486,16384
train/value_loss,1462.4735042180089,16384
train/entropy,14.704774054892603,16384
train/best_reward,10.035361090950481,16384
curriculum/stage,0,16384
train/reward_mean,-62.61074455592613,20480
train/policy_loss,-0.0058467166563292775,20480
train/value_loss,1466.3507302549165,20480
train/entropy,14.705179533514254,20480
train/best_reward,15.442519236395427,20480
curriculum/stage,0,20480
train/reward_mean,-64.86782371068593,24576
train/policy_loss,-0.005784472943205247,24576
train/value_loss,1365.972008560055,24576
train/entropy,14.7062789229415,24576
train/best_reward,15.442519236395427,24576
curriculum/stage,0,24576
train/reward_mean,-61.138002126060165,28672
train/policy_loss,-0.004966758597700677,28672
train/value_loss,1262.51573900161,28672
train/entropy,14.707081326278573,28672
train/best_reward,31.92080721133064,28672
curriculum/stage,0,28672
train/reward_mean,-60.985191274495016,32768
train/policy_loss,-0.005770874811234447,32768
train/value_loss,1228.162382896733,32768
train/entropy,14.707479529558132,32768
train/best_reward,31.92080721133064,32768
curriculum/stage,0,32768
train/reward_mean,-61.07737062012799,36864
train/policy_loss,-0.005950020448991137,36864
train/value_loss,1211.2900906065502,36864
train/entropy,14.707484037802386,36864
train/best_reward,55.22184390030096,36864
curriculum/stage,0,36864
