episode,global_step,steps,reward,distance_m,load_dropped,robot_fallen,best_reward,is_best,stage
1,18,18,-13.6314,0.5020,true,false,-13.6314,true,Stand
2,30,12,-52.9173,0.0322,false,true,-13.6314,false,Stand
3,54,24,-42.6523,0.1887,false,true,-13.6314,false,Stand
4,78,24,-43.5564,0.1997,false,true,-13.6314,false,Stand
5,103,25,-74.3502,0.1933,false,true,-13.6314,false,Stand
6,125,22,-28.0622,0.3322,false,true,-13.6314,false,Stand
7,137,12,-50.3989,0.0358,false,true,-13.6314,false,Stand
8,166,29,-28.0953,0.5273,false,true,-13.6314,false,Stand
9,199,33,-110.3929,0.0956,false,true,-13.6314,false,Stand
10,219,20,-72.2146,0.1031,true,false,-13.6314,false,Stand
11,241,22,-56.5964,0.1482,false,true,-13.6314,false,Stand
12,262,21,-49.8559,0.1298,true,false,-13.6314,false,Stand
13,277,15,-57.9426,0.0386,false,true,-13.6314,false,Stand
14,289,12,-51.5806,0.0671,false,true,-13.6314,false,Stand
15,315,26,-59.5021,0.1481,false,true,-13.6314,false,Stand
16,338,23,-41.4716,0.3124,false,true,-13.6314,false,Stand
17,361,23,-56.2745,0.1244,true,false,-13.6314,false,Stand
18,377,16,-63.9379,0.0625,true,false,-13.6314,false,Stand
19,402,25,-76.6204,0.0168,true,false,-13.6314,false,Stand
20,420,18,-93.2564,0.0147,false,true,-13.6314,false,Stand
21,435,15,-62.2806,0.0566,false,true,-13.6314,false,Stand
22,456,21,-63.0362,0.0395,true,false,-13.6314,false,Stand
23,474,18,-81.6318,0.0313,true,false,-13.6314,false,Stand
24,487,13,-46.4809,0.0723,false,true,-13.6314,false,Stand
25,510,23,-96.8886,0.0300,false,true,-13.6314,false,Stand
26,522,12,-52.7649,0.0383,false,true,-13.6314,false,Stand
27,548,26,-71.4103,0.0144,true,false,-13.6314,false,Stand
28,572,24,-51.0937,0.1806,false,true,-13.6314,false,Stand
29,589,17,-70.1939,0.0377,false,true,-13.6314,false,Stand
